,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
1,1,X1,1,0,0,1,ph,4,4,1,1771,2177,7.685703061,2,1111,1,0.5,1,0,4,4,4,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,527
2,2,X1,0,0,1,1,ph,10,4,0.4,1609,5441,8.601718146,0,1000111000,0,-0.1,0.6,6,-2,2,6,0,1,-1,chose undesirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,491
4,4,X1,0,1,1,0,ph,11,5,0.454545455,1705,5907,8.683893367,0,11011001,1,-0.045454545,0.545454545,6,-1,1,6,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,407
6,6,X1,1,1,1,1,tv,9,6,0.666666667,3518,4447,8.399984991,0,10111011,1,0.166666667,0.666666667,3,3,3,6,1,1,1,chose desirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,47
7,7,X1,0,0,0,0,tv,7,2,0.285714286,2542,3400,8.131530711,1,1010,1,-0.214285714,0.714285714,5,-3,3,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,100
8,8,X1,0,0,1,1,ph,5,1,0.2,2487,2440,7.799753318,0,1,0,-0.3,0.8,4,-3,3,4,0,1,-1,chose undesirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,240
9,9,X1,1,1,1,1,tv,10,9,0.9,1681,5071,8.531293316,3,1111111110,1,0.4,0.9,1,8,8,9,1,1,1,chose desirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,121
10,10,X1,1,0,0,1,ph,8,5,0.625,1449,3872,8.261526448,0,10011110,1,0.125,0.625,3,2,2,5,1,1,1,chose desirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,22
11,11,X1,1,1,1,1,tv,6,5,0.833333333,750,2793,7.934871566,0,110111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,43
12,12,X1,1,1,0,0,ph,3,2,0.666666667,1195,1566,7.356279877,0,110,0,0.166666667,0.666666667,1,1,1,2,0,-1,1,chose desirable,undesirable fac.,"[7,2.1e+03]",FALSE,466
13,13,X1,0,1,0,1,tv,7,1,0.142857143,2711,3559,8.177234886,0,1000000,0,-0.357142857,0.857142857,6,-5,5,6,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,259
15,15,X1,0,1,1,0,ph,6,1,0.166666667,2854,3159,8.058010801,3,10000,1,-0.333333333,0.833333333,5,-4,4,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,409
18,18,X1,1,0,0,1,ph,5,1,0.2,2239,2712,7.905441649,2,10000,1,-0.3,0.2,4,-3,-3,1,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,512
20,20,X1,1,0,0,1,ph,6,4,0.666666667,1902,3184,8.065893547,0,11110,1,0.166666667,0.666666667,2,2,2,4,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,434
21,21,X1,0,1,0,1,tv,7,2,0.285714286,1282,3725,8.222822131,0,100001,0,-0.214285714,0.714285714,5,-3,3,5,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,425
22,22,X1,0,1,0,1,tv,4,3,0.75,2028,2003,7.602401336,0,1101,0,0.25,0.25,1,2,-2,1,0,1,-1,chose undesirable,desirable fac.,"[7,2.1e+03]",FALSE,353
23,23,X1,1,1,1,1,tv,5,3,0.6,1807,2497,7.82284529,0,1110,1,0.1,0.6,2,1,1,3,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,297
24,24,X1,1,0,1,0,tv,5,4,0.8,2297,2721,7.908754739,0,11011,0,0.3,0.8,1,3,3,4,0,-1,1,chose desirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,521
26,26,X1,1,1,1,1,tv,49,25,0.510204082,5595,26753,10.1944019,2,1.10E+48,1,0.010204082,0.510204082,24,1,1,25,1,1,1,chose desirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,353
27,27,X1,0,0,0,0,tv,7,2,0.285714286,2150,3610,8.191463051,0,1100000,1,-0.214285714,0.714285714,5,-3,3,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,310
