,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
1,1,X1,1,0,0,1,ph,4,2,0.5,1135,2032,7.616775809,0,110,1,0,0.5,2,0,0,2,1,1,1,chose desirable,desirable fac.,"[1,2.08e+03]",FALSE,382
2,2,X1,1,0,0,1,ph,8,6,0.75,3617,4318,8.370547611,0,10011111,1,0.25,0.75,2,4,4,6,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,468
3,3,X1,1,1,1,1,tv,8,7,0.875,1774,4227,8.349247801,0,11011111,1,0.375,0.875,1,6,6,7,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,377
4,4,X1,0,0,0,0,tv,9,2,0.222222222,2303,4595,8.432724035,0,110000000,1,-0.277777778,0.777777778,7,-5,5,7,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,195
8,8,X1,0,0,0,0,tv,9,1,0.111111111,1042,4602,8.434246271,0,1000,1,-0.388888889,0.888888889,8,-7,7,8,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,202
9,9,X1,1,1,1,1,tv,5,3,0.6,5081,2714,7.90617884,2,11010,1,0.1,0.6,2,1,1,3,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,514
11,11,X1,1,0,1,0,tv,8,4,0.5,2877,4397,8.388677769,0,101011,0,0,0.5,4,0,0,4,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,547
12,12,X1,0,1,1,0,ph,6,0,0,885,2976,7.998335396,0,0,1,-0.5,1,6,-6,6,6,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,226
13,13,X1,0,1,0,1,tv,8,4,0.5,3527,4212,8.345692873,0,10011001,0,0,0.5,4,0,0,4,0,1,-1,chose undesirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,362
15,15,X1,0,0,0,0,tv,5,2,0.4,1592,2592,7.860185057,0,11000,1,-0.1,0.6,3,-1,1,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,392
16,16,X1,1,0,1,0,tv,8,5,0.625,446,4168,8.335191583,0,1101110,0,0.125,0.625,3,2,2,5,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,318
17,17,X1,0,1,1,0,ph,8,3,0.375,3329,3971,8.286773231,1,10010010,1,-0.125,0.625,5,-2,2,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,121
18,18,X1,0,1,1,0,ph,5,3,0.6,1574,2376,7.77317368,0,10011,1,0.1,0.4,2,1,-1,2,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,176
19,19,X1,0,0,0,0,tv,20,5,0.25,16143,10648,9.27312736,0,1.00E+19,1,-0.25,0.75,15,-10,10,15,1,-1,-1,chose undesirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,198
20,20,X1,1,0,0,1,ph,4,2,0.5,1207,1959,7.580189418,0,110,1,0,0.5,2,0,0,2,1,1,1,chose desirable,desirable fac.,"[1,2.08e+03]",FALSE,309
21,21,X1,1,1,1,1,tv,6,4,0.666666667,1680,3231,8.080546966,0,1111,1,0.166666667,0.666666667,2,2,2,4,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,481
22,22,X1,1,0,0,1,ph,12,7,0.583333333,2389,6280,8.745125259,6,1.10E+11,1,0.083333333,0.583333333,5,2,2,7,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,230
23,23,X1,0,1,1,0,ph,6,0,0,2071,3233,8.081165778,0,0,1,-0.5,1,6,-6,6,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,483
24,24,X1,1,1,0,0,ph,6,6,1,1758,2880,7.965545573,0,111111,0,0.5,1,0,6,6,6,0,-1,1,chose desirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,130
25,25,X1,1,0,1,0,tv,8,4,0.5,735,4193,8.341171747,0,110110,0,0,0.5,4,0,0,4,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,343
26,26,X1,0,1,1,0,ph,9,1,0.111111111,496,4776,8.471358655,0,100000,1,-0.388888889,0.888888889,8,-7,7,8,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,376
27,27,X1,1,1,1,1,tv,9,7,0.777777778,1183,4559,8.42485858,0,101111011,1,0.277777778,0.777777778,2,5,5,7,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,159
28,28,X1,1,1,1,1,tv,4,3,0.75,4749,2096,7.647786045,0,1110,1,0.25,0.75,1,2,2,3,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,446
29,29,X1,1,0,0,1,ph,14,9,0.642857143,4206,7391,8.908018323,0,1.10E+13,1,0.142857143,0.642857143,5,4,4,9,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,241
30,30,X1,0,0,1,1,ph,9,2,0.222222222,2460,4656,8.445911989,0,1001000,0,-0.277777778,0.777777778,7,-5,5,7,0,1,-1,chose undesirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,256
31,31,X1,0,1,0,1,tv,49,22,0.448979592,3005,26842,10.1977231,0,1.10E+48,0,-0.051020408,0.551020408,27,-5,5,27,0,1,-1,chose undesirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,442
32,32,X1,1,0,0,1,ph,6,5,0.833333333,3872,3175,8.063062911,0,11111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,425
33,33,X1,1,1,1,1,tv,6,4,0.666666667,1068,2870,7.962067309,0,11110,1,0.166666667,0.666666667,2,2,2,4,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,120
34,34,X1,1,1,1,1,tv,19,12,0.631578947,4670,10312,9.241063545,0,1.10E+15,1,0.131578947,0.631578947,7,5,5,12,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,412
35,35,X1,1,0,0,1,ph,22,12,0.545454545,2830,11785,9.374582815,0,1.10E+20,1,0.045454545,0.545454545,10,2,2,12,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,235
36,36,X1,1,1,0,0,ph,18,10,0.555555556,2847,9721,9.182043773,0,1.10E+14,0,0.055555556,0.555555556,8,2,2,10,0,-1,1,chose desirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,371
37,37,X1,0,1,1,0,ph,11,4,0.363636364,4095,5924,8.686767175,0,101010001,1,-0.136363636,0.636363636,7,-3,3,7,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,424
38,38,X1,1,1,0,0,ph,38,15,0.394736842,3321,20695,9.937647404,0,1.00E+37,0,-0.105263158,0.394736842,23,-8,-8,15,0,-1,1,chose desirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,345
39,39,X1,1,0,0,1,ph,10,9,0.9,568,5121,8.541105011,0,1101111111,1,0.4,0.9,1,8,8,9,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,171
40,40,X1,0,0,0,0,tv,4,1,0.25,4192,2008,7.604894481,0,10,1,-0.25,0.75,3,-2,2,3,1,-1,-1,chose undesirable,undesirable fac.,"[1,2.08e+03]",FALSE,358
42,42,X1,1,0,1,0,tv,6,6,1,3693,3269,8.092239407,0,111111,0,0.5,1,0,6,6,6,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,519
44,44,X1,0,0,0,0,tv,8,2,0.25,559,4216,8.34664209,0,100100,1,-0.25,0.75,6,-4,4,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,366
45,45,X1,0,0,1,1,ph,3,0,0,1592,1608,7.38274645,0,0,0,-0.5,1,3,-3,3,3,0,1,-1,chose undesirable,desirable fac.,"[1,2.08e+03]",FALSE,508
46,46,X1,1,1,1,1,tv,32,18,0.5625,3615,17163,9.750511183,0,1.11E+28,1,0.0625,0.5625,14,4,4,18,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,113
47,47,X1,0,0,1,1,ph,11,2,0.181818182,2364,5712,8.650324504,0,1001000000,0,-0.318181818,0.818181818,9,-7,7,9,0,1,-1,chose undesirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,212
48,48,X1,1,0,0,1,ph,10,7,0.7,720,5111,8.539150359,0,1011101110,1,0.2,0.7,3,4,4,7,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,161
49,49,X1,0,0,0,0,tv,5,1,0.2,1042,2258,7.722234745,0,1,1,-0.3,0.8,4,-3,3,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,58
