,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
2,2,X1,1,0,0,1,ph,6,5,0.833333333,727,3288,8.098034756,0,101111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,538
3,3,X1,1,0,0,1,ph,10,6,0.6,908,5449,8.603187385,0,111010011,1,0.1,0.6,4,2,2,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,499
4,4,X1,0,1,1,0,ph,56,27,0.482142857,2895,30577,10.32800337,0,1.01E+53,1,-0.017857143,0.517857143,29,-2,2,29,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,327
6,6,X1,1,0,0,1,ph,10,6,0.6,1386,5284,8.572438666,0,1100011110,1,0.1,0.6,4,2,2,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,334
7,7,X1,1,0,1,0,tv,8,5,0.625,519,4137,8.327726166,0,11111,0,0.125,0.625,3,2,2,5,0,-1,1,chose desirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,287
8,8,X1,1,1,1,1,tv,9,6,0.666666667,1056,4840,8.48467,0,100111110,1,0.166666667,0.666666667,3,3,3,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,440
9,9,X1,0,1,1,0,ph,21,9,0.428571429,1203,11540,9.35357454,1,1.01E+20,1,-0.071428571,0.571428571,12,-3,3,12,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,540
11,11,X1,1,1,0,0,ph,8,3,0.375,1153,3912,8.271804031,0,11100000,0,-0.125,0.375,5,-2,-2,3,0,-1,1,chose desirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,62
12,12,X1,1,1,1,1,tv,27,13,0.481481481,1581,14546,9.585071321,0,1.10E+25,1,-0.018518519,0.481481481,14,-1,-1,13,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,246
14,14,X1,0,1,1,0,ph,7,3,0.428571429,2912,3554,8.175829009,0,1100010,1,-0.071428571,0.571428571,4,-1,1,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.26e+03,3.81e+03]",FALSE,254
15,15,X1,0,0,0,0,tv,14,5,0.357142857,3115,7253,8.889170455,0,1.11E+11,1,-0.142857143,0.642857143,9,-4,4,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,103
16,16,X1,0,0,0,0,tv,17,6,0.352941176,1407,9296,9.137339479,0,1.10E+14,1,-0.147058824,0.647058824,11,-5,5,11,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,496
17,17,X1,1,1,0,0,ph,8,5,0.625,4073,4056,8.307952545,0,11001110,0,0.125,0.625,3,2,2,5,0,-1,1,chose desirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,206
18,18,X1,1,0,1,0,tv,21,12,0.571428571,1725,11416,9.342771159,0,1.00E+20,0,0.071428571,0.571428571,9,3,3,12,0,-1,1,chose desirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,416
19,19,X1,1,1,0,0,ph,14,8,0.571428571,3102,7232,8.886270902,0,1.00E+13,0,0.071428571,0.571428571,6,2,2,8,0,-1,1,chose desirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,82
20,20,X1,1,0,0,1,ph,21,14,0.666666667,2332,11520,9.351839934,0,1.01E+20,1,0.166666667,0.666666667,7,7,7,14,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,520
22,22,X1,0,1,1,0,ph,7,2,0.285714286,910,3697,8.215276959,0,1001000,1,-0.214285714,0.714285714,5,-3,3,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.26e+03,3.81e+03]",FALSE,397
24,24,X1,0,0,0,0,tv,17,7,0.411764706,1680,9324,9.140347,8,1.01E+16,1,-0.088235294,0.588235294,10,-3,3,10,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,524
25,25,X1,1,1,1,1,tv,6,5,0.833333333,1767,2929,7.982416347,0,11111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,179
26,26,X1,1,1,1,1,tv,28,16,0.571428571,2044,15353,9.639066174,9,1.11E+27,1,0.071428571,0.571428571,12,4,4,16,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,503
27,27,X1,0,1,1,0,ph,17,6,0.352941176,2611,8873,9.090768237,0,1.10E+13,1,-0.147058824,0.647058824,11,-5,5,11,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,73
28,28,X1,0,0,0,0,tv,10,5,0.5,929,5414,8.59674347,1,110001011,1,0,0.5,5,0,0,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,464
29,29,X1,1,1,1,1,tv,20,14,0.7,1627,10893,9.29587566,0,1.01E+17,1,0.2,0.7,6,8,8,14,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,443
31,31,X1,0,1,1,0,ph,14,3,0.214285714,3385,7353,8.902863672,0,1.00E+13,1,-0.285714286,0.785714286,11,-8,8,11,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,203
32,32,X1,0,1,1,0,ph,31,14,0.451612903,1037,16976,9.739555861,0,1.10E+29,1,-0.048387097,0.548387097,17,-3,3,17,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,476
33,33,X1,0,1,1,0,ph,15,4,0.266666667,2796,8167,9.007856923,0,1.01E+13,1,-0.233333333,0.733333333,11,-7,7,11,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,467
34,34,X1,1,0,1,0,tv,9,6,0.666666667,1077,4480,8.407378325,0,11001111,0,0.166666667,0.666666667,3,3,3,6,0,-1,1,chose desirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,80
37,37,X1,0,0,0,0,tv,16,7,0.4375,1462,8619,9.061724348,0,1.01E+13,1,-0.0625,0.5625,9,-2,2,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,369
38,38,X1,1,1,1,1,tv,8,6,0.75,945,4024,8.300031712,0,11110101,1,0.25,0.75,2,4,4,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,174
39,39,X1,0,1,0,1,tv,13,4,0.307692308,1045,6841,8.830689199,0,1.00E+12,0,-0.192307692,0.692307692,9,-5,5,9,0,1,-1,chose undesirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,241
40,40,X1,1,0,0,1,ph,12,9,0.75,3058,6087,8.713910628,0,1.10E+11,1,0.25,0.75,3,6,6,9,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,37
41,41,X1,1,1,0,0,ph,23,13,0.565217391,1648,12464,9.430599768,2,1.00E+19,0,0.065217391,0.565217391,10,3,3,13,0,-1,1,chose desirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,364
42,42,X1,0,1,1,0,ph,7,0,0,3023,3845,8.254528882,0,0,1,-0.5,1,7,-7,7,7,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,545
43,43,X1,1,0,0,1,ph,4,3,0.75,2091,1815,7.503840747,0,1110,1,0.25,0.75,1,2,2,3,1,1,1,chose desirable,desirable fac.,"[0,2.26e+03]",FALSE,165
44,44,X1,1,1,1,1,tv,4,3,0.75,1094,2044,7.622663951,0,1110,1,0.25,0.75,1,2,2,3,1,1,1,chose desirable,desirable fac.,"[0,2.26e+03]",FALSE,394
